id,farmerId,feedback,createdAt,updatedAt
1,2,Thank you,2021-03-25 15:32:38.955+00,2021-03-25 15:32:38.955+00
2,36,My feedback,2021-03-25 15:41:01.75+00,2021-03-25 15:41:01.751+00
3,43,Nice app,2021-03-29 16:27:36.731+00,2021-03-29 16:27:36.734+00
4,43,55555,2021-03-29 16:27:59.56+00,2021-03-29 16:27:59.56+00
5,43,55555,2021-03-29 16:29:27.509+00,2021-03-29 16:29:27.509+00
6,43,55555,2021-03-29 16:30:07.939+00,2021-03-29 16:30:07.939+00
7,43,55555,2021-03-29 16:30:44.006+00,2021-03-29 16:30:44.007+00
8,43,55555,2021-03-29 16:40:57.672+00,2021-03-29 16:40:57.672+00
9,71,55555,2021-03-29 16:55:53.609+00,2021-03-29 16:55:53.609+00
10,63,A nice app,2021-03-29 17:09:53.527+00,2021-03-29 17:09:53.527+00
11,63,55555,2021-03-29 17:10:16.708+00,2021-03-29 17:10:16.708+00
12,63,A nice app,2021-04-14 16:47:55.82+00,2021-04-14 16:47:55.82+00
13,63,A nice app,2021-04-14 16:51:33.896+00,2021-04-14 16:51:33.896+00
14,63,A nice app,2021-04-14 16:52:14.137+00,2021-04-14 16:52:14.137+00
15,63,A nice app,2021-04-14 16:54:42.138+00,2021-04-14 16:54:42.138+00
16,63,A nice app,2021-04-14 16:55:34.09+00,2021-04-14 16:55:34.09+00
17,254,555555,2021-04-17 14:51:18.589+00,2021-04-17 14:51:18.589+00
18,89,"Easily used directly videos and customer call login 
Useful for the app easily treatment on animals with in hrs doctors care helpful forthe  app ,thankyou for the hfl vet+",2021-04-20 05:37:42.985+00,2021-04-20 05:37:42.985+00
19,141,Please Location Name Change ,2021-04-28 10:46:43.842+00,2021-04-28 10:46:43.842+00
20,141,"Please Change In My Profile 
Unite Name ",2021-04-28 10:59:01.179+00,2021-04-28 10:59:01.179+00
21,2067,Good application,2021-05-01 08:52:57.959+00,2021-05-01 08:52:57.959+00
22,293,Feed calculator not working sir,2021-05-03 14:41:18.516+00,2021-05-03 14:41:18.516+00
23,341,App very useful.,2021-05-04 14:47:51.77+00,2021-05-04 14:47:51.77+00
24,313,77777,2021-05-04 14:51:19.974+00,2021-05-04 14:51:19.976+00
25,1070,Good idea sir,2021-05-04 15:17:08.225+00,2021-05-04 15:17:08.225+00
26,301,11111,2021-05-04 15:22:53.117+00,2021-05-04 15:22:53.117+00
27,319,Good farmers don't need Doctor,2021-05-04 15:23:14.166+00,2021-05-04 15:23:14.166+00
28,301,11111,2021-05-04 15:32:33.262+00,2021-05-04 15:32:33.263+00
29,21,Ok good,2021-05-04 15:50:12.313+00,2021-05-04 15:50:12.313+00
30,416,"This app is great. Farmers can get advice through the app for those who can't find doctors during this corona time.


",2021-05-04 16:46:18.299+00,2021-05-04 16:46:18.299+00
31,2259,122629,2021-05-05 10:08:41.353+00,2021-05-05 10:08:41.353+00
32,658,00000,2021-05-05 14:44:37.609+00,2021-05-05 14:44:37.609+00
33,141,White to green color,2021-05-05 22:39:58.352+00,2021-05-05 22:39:58.354+00
34,261,Very good,2021-05-06 11:10:47.007+00,2021-05-06 11:10:47.007+00
35,695,"
55555",2021-05-06 12:06:56.073+00,2021-05-06 12:06:56.073+00
36,3172,Very useful sir,2021-05-06 14:41:21.381+00,2021-05-06 14:41:21.381+00
